transaction_id,country,payment_method,amount_eur,hour,previous_failures,is_cross_border,is_returning_user
tx_0063,ES,mobile_wallet,65.08,16,0,True,True
tx_0064,FR,mobile_wallet,126.91,3,2,False,True
tx_0065,NL,contactless_card,55.85,7,0,False,True
tx_0066,FR,wearable,75.88,5,0,False,False
tx_0067,NL,card_not_present,43.5,21,0,False,True
tx_0068,FR,contactless_card,144.52,2,0,True,True
tx_0069,AU,contactless_card,43.23,12,0,True,True
tx_0070,FR,wearable,104.85,11,1,True,False
tx_0071,ES,card_not_present,112.32,13,1,False,True
tx_0072,BE,contactless_card,38.97,14,2,False,False
tx_0073,US,mobile_wallet,75.85,2,0,False,False
tx_0074,ES,wearable,11.29,7,0,False,True
tx_0075,FR,card_not_present,56.78,13,0,False,True
tx_0076,UK,contactless_card,11.13,2,2,False,True
tx_0077,AU,contactless_card,63.03,19,1,True,True
tx_0078,US,card_not_present,30.95,19,0,False,True
tx_0079,DE,contactless_card,37.38,12,0,True,False
tx_0080,FR,contactless_card,21.06,19,1,True,True
tx_0081,FR,mobile_wallet,51.85,10,2,False,True
tx_0082,US,contactless_card,70.8,13,0,False,True
tx_0083,DE,mobile_wallet,20.84,11,1,True,True
tx_0084,FR,contactless_card,34.24,3,1,True,True
tx_0085,US,card_not_present,52.18,4,0,False,True
tx_0086,ES,contactless_card,27.09,13,0,False,True
tx_0087,DE,wearable,97.41,1,0,True,True
tx_0088,BE,contactless_card,147.51,15,0,False,True
tx_0089,NL,contactless_card,52.37,7,0,False,False
tx_0090,FR,contactless_card,40.84,10,3,False,True
tx_0091,FR,contactless_card,48.74,21,0,False,True
tx_0092,US,contactless_card,22.74,20,0,False,True
tx_0093,NL,mobile_wallet,12.27,11,2,False,True
tx_0094,DE,contactless_card,24.25,9,0,False,True
tx_0095,BE,contactless_card,52.14,19,3,False,True
tx_0096,IT,card_not_present,34.69,12,1,False,True
tx_0097,FR,card_not_present,21.49,17,0,True,True
tx_0098,BE,card_not_present,18.91,2,0,False,False
tx_0099,FR,contactless_card,43.92,17,0,False,False
tx_0100,FR,contactless_card,34.21,13,1,True,True
tx_0101,AU,contactless_card,71.92,5,0,True,True
tx_0102,ES,contactless_card,18.67,18,0,False,True
tx_0103,NL,contactless_card,189.7,12,1,False,True
tx_0104,DE,contactless_card,41.24,17,0,False,False
tx_0105,US,contactless_card,151.79,19,0,False,True
tx_0106,BE,contactless_card,33.83,6,0,False,True
tx_0107,DE,card_not_present,63.04,19,0,False,True
tx_0108,ES,contactless_card,30.12,23,0,False,True
tx_0109,BE,contactless_card,127.49,12,0,False,True
tx_0110,DE,mobile_wallet,71.19,17,0,False,False
tx_0111,IT,contactless_card,25.12,18,0,False,True
tx_0112,US,mobile_wallet,38.73,10,0,False,True
tx_0113,FR,contactless_card,71.11,19,0,True,True
tx_0114,AU,contactless_card,9.09,9,0,False,False
tx_0115,FR,mobile_wallet,24.62,21,0,False,True
tx_0116,IT,mobile_wallet,27.76,18,0,False,True
tx_0117,UK,contactless_card,3.73,12,1,False,False
tx_0118,FR,wearable,53.63,4,0,False,False
tx_0119,NL,card_not_present,146.13,19,0,True,False
tx_0120,UK,contactless_card,7.88,15,0,True,False
tx_0121,FR,contactless_card,15.73,13,2,False,True
tx_0122,ES,contactless_card,47.46,17,0,False,True
tx_0123,UK,card_not_present,56.99,23,0,False,True
tx_0124,DE,card_not_present,55.28,12,0,False,True
tx_0125,IT,contactless_card,35.28,9,0,False,False
tx_0126,FR,card_not_present,29.33,20,2,True,True
tx_0127,FR,contactless_card,9.18,15,0,False,True
tx_0128,BE,contactless_card,136.65,11,0,False,True
tx_0129,FR,contactless_card,103.62,4,0,False,True
tx_0130,BE,card_not_present,26.08,11,0,False,True
tx_0131,AU,contactless_card,42.98,22,2,False,True
tx_0132,DE,contactless_card,35.91,6,0,False,False
tx_0133,BE,mobile_wallet,31.99,23,1,False,True
tx_0134,LU,contactless_card,17.82,22,0,False,True
tx_0135,AU,contactless_card,168.9,20,0,False,False
tx_0136,NL,contactless_card,37.42,7,0,True,False
tx_0137,AU,card_not_present,72.26,19,0,True,True
tx_0138,DE,wearable,38.34,16,3,True,False
tx_0139,DE,wearable,54.24,21,0,False,False
tx_0140,US,wearable,117.52,9,0,False,True
tx_0141,IT,mobile_wallet,47.57,14,0,False,True
tx_0142,DE,card_not_present,113.59,22,0,True,False
tx_0143,NL,mobile_wallet,26.22,21,0,False,False
tx_0144,US,mobile_wallet,70.27,22,0,False,True
tx_0145,NL,contactless_card,107.89,2,0,False,True
tx_0146,US,contactless_card,74.19,0,0,True,False
tx_0147,FR,mobile_wallet,26.33,2,0,False,True
tx_0148,NL,contactless_card,33.72,23,0,False,True
tx_0149,DE,card_not_present,26.71,9,0,False,True
tx_0150,AU,mobile_wallet,55.83,14,0,False,True
tx_0151,LU,contactless_card,38.57,10,1,True,False
tx_0152,UK,card_not_present,24.3,1,1,False,True
tx_0153,ES,contactless_card,15.56,21,0,False,True
tx_0154,IT,contactless_card,26.8,11,0,False,True
tx_0155,ES,contactless_card,43.12,7,1,False,True
tx_0156,AU,card_not_present,71.76,1,0,True,False
tx_0157,BE,mobile_wallet,57.55,2,0,False,True
tx_0158,BE,wearable,68.87,13,0,True,True
tx_0159,FR,contactless_card,98.79,18,0,True,False
tx_0160,FR,wearable,58.92,4,2,True,True
tx_0161,FR,mobile_wallet,12.0,12,0,False,True
tx_0162,US,mobile_wallet,36.82,8,2,False,False
tx_0163,UK,card_not_present,13.38,15,0,False,True
tx_0164,FR,contactless_card,48.31,7,1,False,False
tx_0165,DE,contactless_card,8.88,21,0,True,False
tx_0166,NL,mobile_wallet,41.92,14,1,True,True
tx_0167,DE,wearable,47.89,4,0,False,True
tx_0168,ES,contactless_card,65.43,19,0,False,True
tx_0169,BE,mobile_wallet,43.55,15,0,False,True
tx_0170,AU,contactless_card,193.1,22,0,False,True
tx_0171,NL,mobile_wallet,31.23,22,0,False,True
tx_0172,ES,wearable,75.75,7,0,False,True
tx_0173,ES,contactless_card,30.72,16,0,False,True
tx_0174,FR,mobile_wallet,19.76,13,1,False,True
tx_0175,FR,contactless_card,30.94,10,1,False,False
tx_0176,NL,card_not_present,12.15,0,0,True,False
tx_0177,IT,contactless_card,49.84,19,0,False,True
tx_0178,UK,contactless_card,8.17,8,0,False,True
tx_0179,IT,mobile_wallet,76.41,1,0,False,True
tx_0180,FR,mobile_wallet,42.27,23,0,False,True
tx_0181,US,mobile_wallet,68.85,9,0,False,True
tx_0182,UK,contactless_card,16.36,2,0,False,False
tx_0183,US,mobile_wallet,111.05,10,0,False,True
tx_0184,DE,mobile_wallet,94.58,20,0,False,True
tx_0185,US,card_not_present,83.14,17,0,False,False
tx_0186,FR,contactless_card,39.83,15,0,False,True
tx_0187,FR,contactless_card,74.96,7,1,False,False
tx_0188,FR,mobile_wallet,42.08,7,0,False,True
tx_0189,LU,mobile_wallet,97.37,6,0,False,False
tx_0190,LU,contactless_card,8.52,18,0,False,False
tx_0191,FR,mobile_wallet,45.31,19,0,True,False
tx_0192,DE,contactless_card,103.33,6,2,True,False
tx_0193,FR,contactless_card,77.09,7,1,False,False
tx_0194,DE,card_not_present,79.71,21,0,False,False
tx_0195,FR,contactless_card,75.22,23,1,False,True
tx_0196,ES,contactless_card,50.04,1,0,False,True
tx_0197,FR,mobile_wallet,20.76,6,0,False,True
tx_0198,BE,mobile_wallet,61.65,2,0,False,True
tx_0199,AU,mobile_wallet,31.94,8,0,False,True
tx_0200,DE,wearable,36.29,18,0,False,False
tx_0201,UK,contactless_card,40.61,14,0,False,False
tx_0202,ES,mobile_wallet,44.11,10,0,True,True
tx_0203,DE,wearable,19.98,4,0,False,False
tx_0204,FR,mobile_wallet,70.32,3,0,False,True
tx_0205,DE,mobile_wallet,51.06,18,0,True,True
tx_0206,FR,contactless_card,93.25,12,0,False,False
tx_0207,UK,mobile_wallet,149.21,0,0,False,False
tx_0208,AU,contactless_card,73.72,7,0,False,False
tx_0209,UK,mobile_wallet,48.23,16,0,True,True
tx_0210,FR,contactless_card,13.97,13,0,False,True
tx_0211,BE,contactless_card,43.21,17,0,False,False
tx_0212,BE,mobile_wallet,51.22,17,0,False,True
tx_0213,FR,contactless_card,54.52,2,0,False,False
tx_0214,ES,contactless_card,45.98,20,0,False,False
tx_0215,UK,wearable,29.78,14,0,False,True
tx_0216,BE,contactless_card,81.27,1,0,False,False
tx_0217,US,card_not_present,49.84,22,1,False,True
tx_0218,UK,wearable,88.1,14,0,False,False
tx_0219,FR,contactless_card,25.4,5,0,True,True
tx_0220,IT,mobile_wallet,55.68,23,0,True,True
tx_0221,US,contactless_card,96.2,0,0,False,True
tx_0222,FR,contactless_card,96.35,11,1,False,True
tx_0223,DE,card_not_present,17.53,0,0,True,True
tx_0224,ES,mobile_wallet,41.7,18,0,False,True
tx_0225,DE,mobile_wallet,34.04,18,0,False,False
tx_0226,FR,mobile_wallet,96.36,2,0,False,False
tx_0227,ES,mobile_wallet,59.49,7,0,False,True
tx_0228,ES,mobile_wallet,26.81,20,0,False,False
tx_0229,UK,contactless_card,43.76,6,0,False,True
tx_0230,UK,contactless_card,30.52,13,3,False,True
tx_0231,BE,contactless_card,45.79,13,0,False,False
tx_0232,IT,contactless_card,32.23,21,1,True,True
tx_0233,US,contactless_card,52.18,17,0,False,False
tx_0234,US,card_not_present,96.89,18,0,False,False
tx_0235,FR,contactless_card,168.14,2,0,False,True
tx_0236,FR,contactless_card,76.88,20,0,False,True
tx_0237,ES,contactless_card,137.36,10,1,False,False
tx_0238,FR,mobile_wallet,70.3,1,1,False,True
tx_0239,DE,card_not_present,73.55,2,0,False,False
tx_0240,AU,card_not_present,61.44,17,0,False,True
tx_0241,BE,contactless_card,42.29,21,1,False,False
tx_0242,LU,contactless_card,4.05,4,3,True,False
tx_0243,NL,card_not_present,18.73,7,0,False,True
tx_0244,ES,contactless_card,37.71,6,1,False,True
tx_0245,FR,mobile_wallet,58.21,21,3,False,True
tx_0246,BE,contactless_card,21.04,7,1,True,True
tx_0247,FR,card_not_present,43.93,15,0,False,True
tx_0248,ES,contactless_card,39.9,14,0,True,True
tx_0249,UK,contactless_card,40.31,9,0,False,True
tx_0250,BE,contactless_card,45.39,15,0,False,False
